pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
214,Thousand Oaks, California,128995,126683,0.0183,55.2,143.0,2335,902,34.1933,-118.8742,Thousand Oaks California
215,Kent, Washington,128458,92411,0.3901,33.7,87.3,3784,1461,47.3880,-122.2127,Kent Washington
216,Santa Clara, California,127134,116468,0.0916,18.4,47.7,6845,2643,37.3646,-121.9679,Santa Clara California
217,Simi Valley, California,126878,124237,0.0213,41.5,107.5,3044,1175,34.2669,-118.7485,Simi Valley California
218,Lafayette, Louisiana,126848,120623,0.0516,53.8,139.3,2372,916,30.2074,-92.0285,Lafayette Louisiana
219,Topeka, Kansas,126587,127473,,61.5,159.3,2062,796,39.0347,-95.6962,Topeka Kansas
220,Athens, Georgia,125691,115452,0.08869999999999999,116.4,301.5,1060,410,33.9496,-83.3701,Athens Georgia
221,Round Rock, Texas,123678,99887,0.2382,35.6,92.2,3396,1311,30.5252,-97.6660,Round Rock Texas
222,Hartford, Connecticut,123400,124775,,17.4,45.1,7083,2735,41.7659,-72.6816,Hartford Connecticut
223,Norman, Oklahoma,122843,110925,0.1074,178.8,463.1,683,264,35.2406,-97.3453,Norman Oklahoma
224,Victorville, California,122441,115903,0.0564,73.3,189.8,1668,644,34.5277,-117.3536,Victorville California
225,Fargo,  North Dakota,122359,105549,0.1593,49.3,127.7,2450,950,46.8652,-96.8290,Fargo  North Dakota
226,Berkeley, California,122324,112580,0.0866,10.5,27.2,11547,4458,37.8670,-122.2991,Berkeley California
227,Vallejo, California,122105,115942,0.053200000000000004,30.7,79.5,3951,1525,38.1079,-122.2640,Vallejo California
228,Abilene, Texas,121885,117063,0.0412,106.7,276.4,1146,442,32.4545,-99.7381,Abilene Texas
229,Columbia, Missouri,121717,108500,0.12179999999999999,65.0,168.3,1856,717,38.9473,-92.3264,Columbia Missouri
230,Ann Arbor, Michigan,121477,113934,0.0662,28.1,72.8,4298,1659,42.2761,-83.7309,Ann Arbor Michigan
231,Allentown, Pennsylvania,121283,118032,0.0275,17.5,45.3,6882,2657,40.5936,-75.4784,Allentown Pennsylvania
232,Pearland, Texas,119940,91252,0.3144,46.3,119.9,2453,947,29.5558,-95.3231,Pearland Texas
233,Beaumont, Texas,119114,118296,0.0069,82.1,212.6,1441,556,30.0849,-94.1453,Beaumont Texas
234,Wilmington, North Carolina,119045,106476,0.11800000000000001,51.6,133.6,2278,880,34.2092,-77.8858,Wilmington North Carolina
235,Evansville, Indiana,118930,117429,0.0128,47.3,122.5,2526,975,37.9877,-87.5347,Evansville Indiana
236,Arvada, Colorado,118807,106433,0.11630000000000001,38.6,100.0,3043,1175,39.8337,-105.1503,Arvada Colorado
237,Provo, Utah,117335,112488,0.0431,41.7,108.0,2803,1082,40.2453,-111.6448,Provo Utah
238,Independence, Missouri,117306,116830,0.0040999999999999995,77.8,201.5,1504,581,39.0855,-94.3521,Independence Missouri
239,Lansing, Michigan,116986,114297,0.0235,39.1,101.3,2967,1146,42.7143,-84.5593,Lansing Michigan
240,Odessa, Texas,116861,99940,0.1693,45.2,117.1,2608,1007,31.8838,-102.3411,Odessa Texas
241,Richardson, Texas,116783,99223,0.177,28.6,74.1,3963,1530,32.9723,-96.7081,Richardson Texas
